name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,coluna_ce,coluna_pe,coluna_mg,coluna_pr,coluna_rs,coluna_pb,coluna_to,coluna_sc
valor_orcamento,float64,Valor do Orçamento,2012(1),no,,brl,,,valor_orcado_estimado,valororcamentoestimativo,vlr_recurso,vllicitacao,VL_LICITACAO,valor_estimado_licitacao,Valor orçado,Valor Previsto
valor,float64,Valor da Licitação,2012(1),no,,brl,,"Em MG, PR e SC essa variável vem da agrageação dos valores da base de itens",,totaladjudicadolicitacao,,,VL_HOMOLOGADO,valor_licitado_licitacao,Somatório da contratação,
valor_corrigido,float64,Valor Corrigido,2012(1),no,,brl,,Mínimo entre valor e valor_orcamento,,,,,,,,
situacao,string,Situação da Licitação,2012(1),yes,,,,,,situacaolicitacao,,dstiposituacaolicitacao,TP_RESULTADO_GLOBAL,situacao_fracassada_licitacao,,Situação Processo Licitatório
estagio,string,Estágio da Licitação,2012(1),yes,,,,,,estagiolicitacao,,,,,,
preferencia_micro_pequena,string,Preferência de contratação para as microempresas e empresas de pequeno porte,2014(1),no,,,,,,,dsc_ind_pref_micro,,TP_BENEFICIO_MICRO_EPP,,,
exclusiva_micro_pequena,string,Destinação exclusiva a Microempresas e empresas de pequeno porte,2014(1),no,,,,,,,dsc_ind_exclusiva_micro,,TP_BENEFICIO_MICRO_EPP,,,
contratacao,string,Contratação por Itens ou Lotes,2012(1),yes,,,,,,caracteristicaobjeto,,,TP_CARACTERISTICA_OBJETO,,,
quantidade_convidados,int64,Número de convidados (modalidade convite),2014(1),no,,,,,,,num_convidados,,,,,
tipo_cadastro,string,Tipo Cadastro (inicial ou retificação),2014(1),yes,,,,,,,dsc_tipo_cadastro,,,,,
carona,string,Licitação Carona ,(1),no,,,,Na PB há uma indicação sobre adesão à ata de registro de preços na variável modalidade. O mesmo vale para o RS. No TO há indicações sobre adesão  à ata de registro de preços nas variáveis descrição do objeto e modalidade.,modalidade_processo_administrativo,,,,,,,
covid_19,string,Licitação ou dispensa no âmbito da COVID-19,2014(1),no,,,,"Na PB algumas dispensas constam como ""Dispensa COVID-19""",,,,,BL_COVID19,,,
